Text-ID;Multiple_Choice_Frage;Antwort_A;Antwort_B;Antwort_C;Antwort_D;richtige_Antwort
58;What groups exist across the city for tenants and leaseholders? ;Tenants & Resident Association (TARA) only;Leaseholder groups only. ;Both Tenants & Resident Association (TARA) and Leaseholder groups;Neither Tenants & Resident Association (TARA) nor Leaseholder groups.;Both Tenants & Resident Association (TARA) and Leaseholder groups
59;When was the review and accompanying management plans adopted?;23rd October 2006;23rd October 2007;23rd October 2008;23rd October 2009;23rd October 2007
60;What happens after receiving an application? ;Immediate approval.;Compliance check and then sent to the Police for checks;Automatic rejection;Application sent to other agencies.;Compliance check and then sent to the Police for checks
61;What information is specified on the licence? ;Number of animals allowed and general conditions.;Licensee's personal information;License expiration date;License fee;Number of animals allowed and general conditions.
62;What does the initiative mentioned aim to support? ;Environmental conservation;Economic growth;Workforce Diversity Strategy;Education reform;Workforce Diversity Strategy
63;Why have some county and council areas been grouped into subregions? ;To simplify administrative processes;To ensure equal representation;Due to allocation challenges;To foster regional cooperation.;Due to allocation challenges
64;What is notable about Warp Records?;It was founded in Sheffield in 1989;It primarily produces rock music;It is the oldest record label in the UK. ;It focuses on classical music.;It was founded in Sheffield in 1989
65;Where can more information be found about Sheffield's culture?;Sheffield Culture Consortium website only;Sheffield Creative Guild website only. ;Our Favourite Places website only;All of the above.;All of the above.
66;What type of areas does the mentioned location have?;Residential only. ;Commercial/retail only;Both residential and commercial/retail;Industrial only.;Both residential and commercial/retail
67;What is used to identify health and wellbeing priorities? ;Joint Strategic Needs Assessment;Census data;Public opinion polls;Economic indicators.;Joint Strategic Needs Assessment
68;What did an independent tree survey in 2006-07 conclude? ;Majority of street trees were young;Majority of street trees were over 75 years old;Majority of street trees were in poor condition. ;Majority of street trees were planted recently.;Majority of street trees were over 75 years old
69;What was set up under the 1834 Poor Law Amendment Act? ;Independent hospitals;Public libraries;Homeless shelters;Institutions for the sick and infirm poor.;Institutions for the sick and infirm poor.
70;When did the miners' dispute begin? ;6 March 1984;19th March 2007;20th March 1984;6 March 1983.;6 March 1984
71;When were the conservation area evaluation and management proposals adopted?;6 March 1984;19th March 2007;20th March 1984;6 March 1983.;19th March 2007
72;Why were the maps created?;To show areas of Access Land in Sheffield.;To display population density;To illustrate historical landmarks;To outline zoning regulations.;To show areas of Access Land in Sheffield.
73;What is recommended when reporting issues with damp & mould?;Provide a minimum of 3 pictures;Provide written descriptions only;Contact a professional without documentation.;Ignore the issue.;Provide a minimum of 3 pictures
74;What type of tenancy do they usually offer? ;Assured tenancy;Short-term lease;Month-to-month rental;Fixed-term lease.;Assured tenancy
75;What is the main difference in the procedure? ;Building Control formally assesses information.;Building Notice route involves less paperwork;Building Notice route is faster;Building Control route is less expensive.;Building Notice route involves less paperwork
76;Where can the Register of Members' Interests be viewed? ;Town Hall, Pinstone Street, Sheffield. ;Online only;Public library;Civic center.;Town Hall, Pinstone Street, Sheffield. 
77;What happened to most wards during the process? ;They were renamed.;They kept their name and electorate;They were merged;They were dissolved.;They kept their name and electorate
78;What do many Government documents emphasize regarding children and young people?;The importance of education;The significance of giving them a say in matters affecting their lives.;The need for parental supervision;The value of extracurricular activities.;The significance of giving them a say in matters affecting their lives.
79;What happens if there is no response after the further 28 days? ;Application is approved;Application is denied;Application is put on hold;Right to buy application is closed.;Right to buy application is closed.
80;According to the text, what has always been the rule in the human mind?;Many-sidedness;Rationality;One-sidedness;Complexity;One-sidedness
81;What problem is being addressed in the text? ;The nature of visible and tangible extension;The distinction between two types of shapes;The solution proposed by two individuals;The existence of extension in the mind.;The existence of extension in the mind.
82;What conclusion does the text reject regarding the mind? ;The mind is red or blue;The mind is tangible;The mind is extended;The mind is invisible.;The mind is extended
83;How does the text suggest complex ideas can be well known?;By memorization. ;Through definition;By intuition;Through experience;Through definition
84;What did the author know about existing society? ;It was in a deplorable state;It was thriving;It was improving;It was stable.;It was in a deplorable state
85;What was the overall impression of the situation described? ;Encouraging;Discouraging;Ambiguous;Neutral;Discouraging
86;What is described as the most conspicuous feature of history? ;Struggle between liberty and authority;Economic prosperity;Technological advancements.;Cultural achievements.;Struggle between liberty and authority
87;What assertion does the text make about Wordsworth? ;He was the greatest poet of all time;He was the most influential poet;There have been greater poets than Wordsworth.;Wordsworth's poetry is unrivaled;There have been greater poets than Wordsworth.
88;What is inconsistent with justice, according to the text? ;Showing favor;Being impartial;Preference;Justice itself.;Showing favor
89;When did the author resume the system of logic?;1837;1838;1840;1827;1837
90;What was not clear to the speaker regarding their potential impact?;Their ability to write effectively;Their influence as a member of the House of Commons;Their public objectives. ;Their role at the breakfast table.;Their influence as a member of the House of Commons
91;What process of thought does the speaker want to understand? ;Decision making;Problem solving;Creativity;Eating breakfast;Eating breakfast
92;What is the ideal of character described in the text?;To have a notable character;To maim every part of human nature;To stand out prominently;To be without any notable character.;To be without any notable character.
93;How did the speaker approach reading the text? ;With skepticism.;With prejudice;With enthusiasm;With neutrality.;With neutrality.
94;What fate does the text predict for the subject?;Destruction and regeneration;Stability and prosperity;Decline and decay;Isolation and stagnation.;Destruction and regeneration
95;How does the speaker compare their own perception? ;More perfect and comprehensive;Less accurate and limited;Equal in scope and depth;Uncertain and unreliable.;More perfect and comprehensive
96;What dilemma is presented in the text? ;The role of religion in society;The freedom of religious expression;The absence of religious dominance.;The purpose of religious freedom;The absence of religious dominance.
97;How does the text describe the prohibition?;As necessary;As unjust;As religious persecution;As reasonable;As reasonable
98;What does the text suggest about interference? ;It's always justified.;It's based on moral grounds;It's acceptable for physical good;It's not justified for personal conduct.;It's not justified for personal conduct.
99;What does the text suggest an idea can resemble? ;Another idea;Physical objects;Emotions;Nothing else;Another idea
100;What does the speaker suggest people might possibly do? ;Ignore the situation ;Learn something from them ;Criticize them ;Support them;Learn something from them 
101;What can we do if someone displeases us? ;Ignore them ;Argue with them ;Stand aloof from them ;Support them;Stand aloof from them 
102;What is a proper office of public authority according to the text? ;To prevent crime ;To guard against accidents ;To create laws ;To promote happiness;To guard against accidents 
103;How did he consider Butler's argument? ;Incomplete ;Conclusive ;Irrelevant ;Flawed;Conclusive 
104;What would be ridiculous to claim for him?;That he failed society;That he did as much for mankind as Bentham ;That he was misunderstood ;That he was a philosopher;That he did as much for mankind as Bentham 
105;What can he do so far? ;Engage ;Abstract ;Dispute ;Agree;Abstract 
106;What may exist in a general atmosphere of mental slavery? ;Conformists ;Rebels ;Individual thinkers;Followers;Individual thinkers
107;What does the text say about presumption of falsehood? ;It is a common occurrence ;It should be avoided ;It affords no presumption of their falsehood ;It is usually accurate;It affords no presumption of their falsehood 
108;What rendered inevitable the substitution of a different ideal of morality?;Technological advancements ;Changes in the general state of the species ;Economic developments ;Political revolutions;Changes in the general state of the species 
109;What is the dilemma posed about sugar and wormwood? ;Their existence without the mind ;Their economic value ;Their historical usage ;Their chemical composition;Their existence without the mind 
110;How do most people view originality in thought and action, according to the text? ;They strive for it ;They think they can do without it ;They are indifferent to it;They dislike it;They think they can do without it 
111;What must an external body do to affect the mind?;Act on the organs of sense;Influence emotions ;Change thoughts ;Create sensations;Act on the organs of sense
112;What does the speaker concede about sounds?;They are pleasant;They have no real being without the mind ;They are essential ;They are independent of the mind;They have no real being without the mind 
113;What doctrine is the text referring to as being properly understood?;Doctrine of circumstances ;Doctrine of perception ;Doctrine of reality ;Doctrine of emotions;Doctrine of circumstances 
114;How does a clever woman of the higher ranks find employment for her talents?;In business ventures ;In the graces of manner and the arts of conversation;In scientific research ;In charitable activities;In the graces of manner and the arts of conversation
115;What does doubting consist of according to the text?;Embracing the affirmative side ;Embracing the negative side;Embracing either the affirmative or negative side;Avoiding a stance;Embracing either the affirmative or negative side
116;How do we know the influence of the will?;Through observation;Through consciousness ;Through experimentation ;Through intuition;Through consciousness 
117;Which book did the speaker particularly enjoy during their boyhood?;The Adventures of Tom Sawyer ;Robinson Crusoe ;Treasure Island ;The Jungle Book;Robinson Crusoe 
118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are unimportant ;They are derived from the same origin ;They are false ;They are complex;They are derived from the same origin 
119;What would have prevented Christianity from expanding according to the text?;Lack of scriptures ;Cultural barriers ;Remaining an obscure sect of the Hebrews;Roman opposition;Remaining an obscure sect of the Hebrews
120;When were Old Havana and its fortifications added to UNESCO's World Heritage List?;1972;1982;1992;2002;1982
121;How was the city divided by the Allied powers in September?;Into three zones ;Into four zones ;Into five zones ;Into six zones;Into four zones 
122;What remains from the medieval period in the Old Town? ;The Barbican and the Gothic St. John's Cathedral ;The Barbican and the Old Market Square ;The Old Market Square and the Gothic St. John's Cathedral ;The Old Market Square and the Royal Castle;The Barbican and the Gothic St. John's Cathedral 
123;Where is the city located?;On the western shore of Manila Bay;On the eastern shore of Manila Bay ;On the northern shore of Manila Bay ;On the southern shore of Manila Bay;On the eastern shore of Manila Bay 
124;How many inhabitants did Tenochtitlan have when the Spaniards arrived in 1519?;50000;75000;100000;150000;100000
125;How far is Bangkok located from the Gulf of Thailand? ;About 10 miles ;About 25 miles ;About 40 miles ;About 50 miles;About 25 miles 
126;What is the Ringstrasse, or Ring, surrounded by? ;Residential buildings ;Commercial buildings ;Grand buildings, monuments, and parks ;Historical landmarks;Grand buildings, monuments, and parks 
127;Which city is the second largest in Russia?;Moscow ;Novosibirsk ;St. Petersburg ;Yekaterinburg;St. Petersburg 
128;What is the oldest university in Dublin? ;University College Dublin;Dublin City University ;Trinity College ;Royal College of Surgeons;Trinity College 
129;When were the first settlements on the site of Jakarta established?;3rd century AD ;4th century AD ;5th century AD ;6th century AD;5th century AD 
130;What are the main industries in the city? ;Agriculture and fishing;Tourism and finance ;Construction and the production of chemicals, plastics, cement, and yarns and textiles ;Technology and pharmaceuticals;Construction and the production of chemicals, plastics, cement, and yarns and textiles 
131;Which theatre is facing Manila Bay? ;The renovated historic Metropolitan Theatre;The Folk Arts Theater ;The open-air theatre in Rizal Park ;The Cultural Center of the Philippines;The Folk Arts Theater 
132;When did the Romans establish Aquincum? ;At the end of the 1st century BC ;At the beginning of the 1st century AD ;At the end of the 1st century AD ;At the beginning of the 2nd century AD;At the end of the 1st century AD 
133;What is the city's role in the country?;Chief port, largest city, and commercial, political, and tourist centre ;Agricultural hub and cultural centre ;Financial and educational centre ;Industrial and technological centre;Chief port, largest city, and commercial, political, and tourist centre 
134;When did German forces enter the city after a fierce 80-day battle?;September 9, 1941 ;September 14, 1941 ;September 19, 1941;September 24, 1941;September 19, 1941
135;Where are concerts regularly given? ;Bolshoi Theatre ;Mariinsky Theatre ;Tchaikovsky Conservatory ;Moscow Philharmonic Hall;Tchaikovsky Conservatory 
136;Which areas include the Manila Zoological and Botanical Gardens?;The Intramuros district ;The Mehan Garden and Paco Park ;The Cultural Center Complex ;Rizal Park and Fort Santiago;The Mehan Garden and Paco Park 
137;What accelerated the industrial growth in the city during the 19th century?;Improvements in agriculture and fisheries ;Advances in technology and medicine;Improvements in communications and extension of trade ;Expansion of educational institutions;Improvements in communications and extension of trade 
138;How are the two sections of the city connected?;By a single large bridge;By several tunnels ;By several bridges ;By a ferry system;By several bridges 
139;What is still vigorously alive in Kiev? ;Its military tradition;Its ancient tradition as a cultural center ;Its industrial development;Its agricultural practices;Its ancient tradition as a cultural center 
140;What divides the city into two sections?;A mountain range;A large park ;A river ;A highway;A river 
141;Where is Baghdad situated in Iraq? ;Near the northern border;Near the southern border ;Near the center ;Near the western border;Near the center 
142;What happened in Iraq in 1958? ;The monarchy was overthrown and the Republic of Iraq was established;The country gained independence ;The first democratic elections were held ;A significant oil discovery was made;The monarchy was overthrown and the Republic of Iraq was established
143;What came to an end after World War I? ;The Ottoman Empire ;The Roman Empire ;The British Empire ;The Hapsburg Empire;The Hapsburg Empire
144;Where did large demonstrations in favor of democracy take place in 1989?;Red Square ;Tiananmen Square ;Wenceslas Square ;Trafalgar Square;Wenceslas Square 
145;What happened to many of Lisbon's residents?;They became poor;They emigrated to other countries ;They became rich ;They moved to rural areas;They became rich 
146;Why did the Spanish colonists name the city for the 'good winds'?;Because of the pleasant climate ;Because the winds brought them to the port ;Because of the strong maritime traditions ;Because of the frequent windstorms;Because the winds brought them to the port 
147;Where does the city lie in Austria? ;In the southwestern corner;In the northeastern corner ;In the northwestern corner ;In the southeastern corner;In the northeastern corner 
148;What is the city's role in the country? ;A center for education and research;A cultural and historical site;A center for banking and insurance, a major tourist site, and a transportation hub ;An agricultural and industrial hub;A center for banking and insurance, a major tourist site, and a transportation hub 
149;What happened during the Persian Gulf War of 1991? ;The city was captured by Iraqi forces ;The United States and its allies dropped bombs on the city;The city declared independence ;The city was evacuated;The United States and its allies dropped bombs on the city
150;What still stands in the city? ;Modern skyscrapers ;Ancient Roman ruins ;Several centuries-old mosques ;Historic castles;Several centuries-old mosques 
151;What do the city's factories produce? ;Automobiles and electronics ;Food, beverages, chemicals, textiles, and pharmaceuticals ;Furniture and home appliances;Clothing and footwear;Food, beverages, chemicals, textiles, and pharmaceuticals 
152;What is notable about Prague? ;It is a modern city with futuristic architecture;It is a centuries-old city with a wealth of historic landmarks;It is a coastal city with beautiful beaches;It is a major financial center;It is a centuries-old city with a wealth of historic landmarks
153;What is another industry in the city? ;Car manufacturing ;Shipbuilding;Movie making ;Agriculture;Movie making 
154;What is the history of the church mentioned? ;It was built in the 10th century;It began as a wooden church in the 5th century and was rebuilt in the 12th century;It was originally a mosque converted into a church ;It was destroyed in the 14th century;It began as a wooden church in the 5th century and was rebuilt in the 12th century
155;What is to the north of Lisbon's central commercial district?;The Cidade Alta (Upper City) ;The waterfront ;The Cidade Baixa (Lower City;The industrial zone;The Cidade Baixa (Lower City
156;What is notable about some of the streets? ;They are lined with palm trees;They are paved with cobblestones ;They are so steep that they give way to stairs, cable cars, and even an elevator;They are wide and straight;They are so steep that they give way to stairs, cable cars, and even an elevator
157;What was done to parts of the city? ;They were demolished to make way for new construction;They were restored, although progress was slow;They were converted into parks ;They were sold to private developers;They were restored, although progress was slow
158;What happened to the city after the war? ;It was divided into sectors controlled by different countries;It was destroyed and rebuilt ;It was returned to the Dutch ;It became an independent state;It was returned to the Dutch 
159;What happened to many people in the city? ;They were relocated to rural areas;They were evacuated to safety ;They were killed or sent to concentration camps and killed;They were imprisoned for political reasons;They were killed or sent to concentration camps and killed
