User-ID;Text-ID;Frage;Antwort;richtige_Antwort
Casomoto;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To lengthen their ligaments and make their joints more supple.;To lengthen their ligaments and make their joints more supple.
Casomoto;48;What was the original character of the area described? ;Industrial;Industrial
Casomoto;120;When were Old Havana and its fortifications added to UNESCO's World Heritage List?;1992;1982
Casomoto;21;What is the primary cause of left heart failure mentioned in the text?;Pooling of blood in the lungs;Pooling of blood in the lungs
Casomoto;54;When can workers from Making Space provide assistance? ;Only during scheduled visits;When the carer is not around.
Casomoto;109;What is the dilemma posed about sugar and wormwood? ;Their chemical composition;Their existence without the mind 
Casomoto;10;What is the role of parasitic wasps in agricultural pest control?;They prey on pest insects and have little impact on crops. ;They prey on pest insects and have little impact on crops. 
Casomoto;60;What happens after receiving an application? ;Immediate approval.;Compliance check and then sent to the Police for checks
Casomoto;69;What was set up under the 1834 Poor Law Amendment Act? ;Institutions for the sick and infirm poor.;Institutions for the sick and infirm poor.
Casomoto;42;What must people making money from pretending to be letting agents join?;An approved redress scheme.;An approved redress scheme.
Casomoto;155;What is to the north of Lisbon's central commercial district?;The Cidade Baixa (Lower City;The Cidade Baixa (Lower City
Casomoto;46;What is the purpose of using an inventory in a tenancy agreement? ;To encourage the tenant to look after provided items.;To encourage the tenant to look after provided items.
Casomoto;86;What is described as the most conspicuous feature of history? ;Struggle between liberty and authority;Struggle between liberty and authority
Casomoto;116;How do we know the influence of the will?;Through consciousness ;Through consciousness 
Casomoto;148;What is the city's role in the country? ;An agricultural and industrial hub;A center for banking and insurance, a major tourist site, and a transportation hub 
Casomoto;0;What was the outcome of the depression mentioned in the text? ;It remained a small and disorganized depression. ;It remained a small and disorganized depression. 
Casomoto;129;When were the first settlements on the site of Jakarta established?;5th century AD ;5th century AD 
Casomoto;74;What type of tenancy do they usually offer? ;Short-term lease;Assured tenancy
Casomoto;154;What is the history of the church mentioned? ;It began as a wooden church in the 5th century and was rebuilt in the 12th century;It began as a wooden church in the 5th century and was rebuilt in the 12th century
Casomoto;118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are derived from the same origin ;They are derived from the same origin 
Casomoto;16;What is dolomite?;A mineral composed of calcium magnesium carbonate.;A mineral composed of calcium magnesium carbonate.
Casomoto;109;What is the dilemma posed about sugar and wormwood? ;Their existence without the mind ;Their existence without the mind 
Casomoto;103;How did he consider Butler's argument? ;Irrelevant ;Conclusive 
Casomoto;84;What did the author know about existing society? ;It was thriving;It was in a deplorable state
Casomoto;92;What is the ideal of character described in the text?;To have a notable character;To be without any notable character.
Casomoto;58;What groups exist across the city for tenants and leaseholders? ;Both Tenants & Resident Association (TARA) and Leaseholder groups;Both Tenants & Resident Association (TARA) and Leaseholder groups
Casomoto;56;In England, what percentage of the country can the public roam without staying on paths?;7%;7%
Casomoto;40;What does civil partnership allow same-sex couples to do? ;Obtain legal recognition of their relationship;Obtain legal recognition of their relationship
Casomoto;98;What does the text suggest about interference? ;It's based on moral grounds;It's not justified for personal conduct.
Casomoto;6;What part of the body is the structure mentioned in the text attached to?;Frenulum clitoridis. ;Frenulum clitoridis. 
Casomoto;129;When were the first settlements on the site of Jakarta established?;5th century AD ;5th century AD 
Casomoto;15;What action must the governor of the affected state take for FEMA and the federal government to respond to a disaster? ;Declare a state of emergency. ;Declare a state of emergency. 
Casomoto;158;What happened to the city after the war? ;It was returned to the Dutch ;It was returned to the Dutch 
Casomoto;121;How was the city divided by the Allied powers in September?;Into four zones ;Into four zones 
Casomoto;50;Under what circumstances should a child not go to school before or after an appointment?;If they are unwell;If they are unwell
Casomoto;11;"What did Griffith identify as the ""transforming principle""? ";RNA;DNA
Casomoto;52;What planning approach covers the business rate relief sites? ;Detailed planning applications;Local Development Order.
Casomoto;39;When was Ashland Coal, Inc. formed?;1997;1975
Casomoto;78;What do many Government documents emphasize regarding children and young people?;The need for parental supervision;The significance of giving them a say in matters affecting their lives.
Casomoto;111;What must an external body do to affect the mind?;Act on the organs of sense;Act on the organs of sense
Casomoto;90;What was not clear to the speaker regarding their potential impact?;Their influence as a member of the House of Commons;Their influence as a member of the House of Commons
Casomoto;41;What was Samuel Holberry sentenced to prison for? ;Sedition;Sedition
Casomoto;48;What was the original character of the area described? ;Industrial;Industrial
Casomoto;13;Why must lithium be stored in petroleum jelly? ;To protect it from moisture. ;To protect it from moisture. 
Casomoto;67;What is used to identify health and wellbeing priorities? ;Joint Strategic Needs Assessment;Joint Strategic Needs Assessment
Casomoto;40;What does civil partnership allow same-sex couples to do? ;Obtain legal recognition of their relationship;Obtain legal recognition of their relationship
Casomoto;27;What concept is illustrated by the interaction between bacteria and antibiotics?;Evolutionary arms race.;Evolutionary arms race.
Casomoto;32;What is the middle layer of the heart called?;Myocardium;Myocardium
Casomoto;75;What is the main difference in the procedure? ;Building Notice route is faster;Building Notice route involves less paperwork
Casomoto;147;Where does the city lie in Austria? ;In the southeastern corner;In the northeastern corner 
Casomoto;133;What is the city's role in the country?;Agricultural hub and cultural centre ;Chief port, largest city, and commercial, political, and tourist centre 
Casomoto;79;What happens if there is no response after the further 28 days? ;Application is approved;Right to buy application is closed.
Casomoto;11;"What did Griffith identify as the ""transforming principle""? ";RNA;DNA
Casomoto;26;What effect does starch have on dirt and sweat? ;It repels dirt and sweat;It repels dirt and sweat
Casomoto;96;What dilemma is presented in the text? ;The absence of religious dominance.;The absence of religious dominance.
Casomoto;157;What was done to parts of the city? ;They were restored, although progress was slow;They were restored, although progress was slow
Casomoto;151;What do the city's factories produce? ;Food, beverages, chemicals, textiles, and pharmaceuticals ;Food, beverages, chemicals, textiles, and pharmaceuticals 
Casomoto;70;When did the miners' dispute begin? ;20th March 1984;6 March 1984
Casomoto;100;What does the speaker suggest people might possibly do? ;Criticize them ;Learn something from them 
Casomoto;53;How are provisional bookings handled? ;They can be made over the telephone.;They cannot be made over the telephone
Casomoto;95;How does the speaker compare their own perception? ;More perfect and comprehensive;More perfect and comprehensive
Casomoto;44;What can a business do after receiving an interim authority notice?;Apply for a permanent authority notice;Carry on any licensable activities allowed by the premises licence
Casomoto;59;When was the review and accompanying management plans adopted?;23rd October 2007;23rd October 2007
Casomoto;135;Where are concerts regularly given? ;Moscow Philharmonic Hall;Tchaikovsky Conservatory 
Casomoto;118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are derived from the same origin ;They are derived from the same origin 
Casomoto;104;What would be ridiculous to claim for him?;That he did as much for mankind as Bentham ;That he did as much for mankind as Bentham 
Casomoto;123;Where is the city located?;On the eastern shore of Manila Bay ;On the eastern shore of Manila Bay 
Casomoto;140;What divides the city into two sections?;A river ;A river 
Casomoto;121;How was the city divided by the Allied powers in September?;Into four zones ;Into four zones 
Casomoto;62;What does the initiative mentioned aim to support? ;Economic growth;Workforce Diversity Strategy
Casomoto;7;What phenomenon is compared to pesticide resistance in plants and insects in the text?;Antibiotic resistance. ;Antibiotic resistance. 
Casomoto;65;Where can more information be found about Sheffield's culture?;All of the above.;All of the above.
Casomoto;115;What does doubting consist of according to the text?;Embracing the negative side;Embracing either the affirmative or negative side
Casomoto;159;What happened to many people in the city? ;They were evacuated to safety ;They were killed or sent to concentration camps and killed
Casomoto;122;What remains from the medieval period in the Old Town? ;The Old Market Square and the Gothic St. John's Cathedral ;The Barbican and the Gothic St. John's Cathedral 
Casomoto;51;How often will you be contacted regarding your child's education?;Annually;Annually
Casomoto;102;What is a proper office of public authority according to the text? ;To guard against accidents ;To guard against accidents 
Casomoto;59;When was the review and accompanying management plans adopted?;23rd October 2007;23rd October 2007
