,Score,Text
19,0.84946,"The junglefowl are seed-eaters, but insects are also taken, particularly by the young birds. "
20,0.56989,"In 1996, Principal Wong gave up working and the Vice Principal Ms Yau Oi Yuen started doing his work. "
21,0.89247,"Early distributions included: SLS was not well-maintained, so Patrick Volkerding created a distribution based on SLS, which he called Slackware; released July 16, 1993. "
22,0.54839,"The most common and successful example is software as a service (SaaS), but the as a service moniker has been associated with many other functions including communication, infrastructure and platforms, most of which are core components of cloud computing."
23,0.70968,Pescozada is a hip-hop group from El Salvador. 
24,0.32258,The region takes its name from the Balkan Mountains which run through the center of Bulgaria into eastern Serbia. 
25,0.13978,"Executive power is to be exercised by the Governor-General, advised by the Federal Executive Council. "
26,0.87097,This song hit number five on the Billboard Hot 100 and became Bedingfield's first top ten hit single in the United States. This single and Pocketful of Sunshine are among Bedingfield's most successful singles. 
27,0.17204,"True: but it was because I did not then consider the ground there is for distinguishing between them, which I now plainly see. "
28,0.75269,"Together they ruled over this land with a unique culture and language, contributing to the growth of Sangam Literature, some of the oldest literatures in the world. "
29,0.35484,Most of the 772 convicts (of whom 732 survived the voyage) were petty thieves from the London slums.
30,0.12903,"It is on the coast of the Baltic Sea, where it surrounds the city of Stralsund. "
31,0.80645,This region remained around the trunk as a rigid layer that did not flake off like that of most modern trees. 
32,0.22581,In 1833 parts of Burke and Buncombe county became Yancy County. The Southern part of Buncombe then became Henderson County.
33,0.0,An operation to the nasal septum is known as a septoplasty. 
34,0.4086,"Both Iceland and Greenland accepted the ruler of Norway, but Scotland was able to prevent a Norwegian invasion and a negotiate a peace settlement. "
35,0.03226,"In the modern planning system the pre-application phase is where key issues are expected to be resolved, as far as possible."
36,0.78495,"In some mollusks the mantle cavity is a brood chamber, and in cephalopods and some bivalves such as scallops, it is a locomotory organ. "
37,0.01075,It is described as pointed in the face and about the size of a rabbit. 
38,0.63441,"Harry also becomes the worthy possessor of the remaining deathly Hallows: the invisibility cloak and the Resurrection Stone, hence becoming the true Master of Death."
39,0.68817,"Upon receiving its classification, the depression consisted of a partially exposed low-level center with deep convection occupying the northeastern semicircle."
40,0.10753,"The department is divided into three ""arrondissements"" (like districts) and 10 ""communes"" (like municipalities)."
41,0.41935,The story began when the Hankyu-Hanshin hotel group admitted that it gave false descriptions of menu items at some of its restaurants between 2006 and October 2013.
42,0.46237,"A list of our current documents, including orders, or instructions about how to make an order, with information about the site is now ready."
43,0.2043,"""He went to school at Papanui High School, then University of Canterbury, but for only one year."""
44,0.52688,"Its status as an official geological period was ratified in 2004 by the international union of geological sciences, making it the first new geological period declared in 120 years."
45,0.58065,"Fontane's first published work, the novella Geschwisterliebe (or ""Sibling Love""), appeared in the Berlin Figaro in December 1839. "
46,0.74194,The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998. There are now wolf packs in nearly all the country's major forests where the wolves exist together with humans.
47,0.44086,Further Planning restrictions relating to works to the frontages of houses apply to areas of the city in conservation areas and to listed buildings.
48,0.77419,"Action to take possession of your property may be taken by your mortgage lender or, if the property is leasehold, by the freeholder of the land."
49,0.36559,Another of Groundwater's short stories has been adapted into a live theater performance.
50,1.0,"The fruit is a small, sharply three–angled nut 10–15 mm long, borne singly or in pairs in soft-spined husks 1.5–2.5 cm long, known as cupules."
51,0.26882,"When the activists tried to march peacefully to the presidential villa in May, they were blocked by soldiers and police."
52,0.27957,The MLB launched a campaign against the players after seeing the newspaper published the story.
53,0.90323,"""Radiometric dating is a technique used to date materials, usually based on a comparison between the observed supply of a naturally occurring radioactive isotope and its decay products, using known decay rates."""
54,0.50538,Recovery Russia bounced back from the August 1998 financial crash with surprising speed.
55,0.7957,Schuschnigg told everyone right away the talks of large fights were false.
56,0.8172,"""What makes this so unique is it's a partnership between the United Way and the National Association of Elementary School Principals and Scholastic,"" O'Dowd said."
57,0.53763,"""A tuning fork or electronic tuning device may be used as a reference pitch, though in ensemble rehearsals often a piano is used."""
58,0.39785,"From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium, large hospital and library complexes, and two residence halls."
59,0.43011,The most bad situation usually occurs with short journeys from west to east.
60,0.65591,Marshal Manuel Deodoro da Fonseca became the first president of the Republic of Brazil after heading a military rebellion that deposed Emperor Pedro II.
61,0.24731,"At a far smaller rally in Brasilia, demonstrators broke through police lines to enter the high-security area of the national congress. Several climbed onto the roof."
62,0.73118,"""Typically, the biggest difference between film and stage musicals is the use of lavish background scenery which would be impractical in a theater."""
63,0.72043,"Many men spend their lives doing one thing reluctantly and badly when they could have done other things happily and well; this may come about through bad choices by parents, or a youth's own inexperience, or the absence of opportunities for the congenial vocation and their presence for an uncongenial one. "
64,0.86022,"But whatever a person's opinion may be on this point of ontology, the force he is really urged by is his own subjective feeling, and is exactly measured by its strength. "
65,0.07527,"He built it after he went to Wales and took over control of it, conquering it."
66,0.49462,He visited his sister who was dying of Ebola in Liberia and took part in her burial.
67,0.47312,"He held several senior positions in the royal flying corps during World War I, serving as the commander of royal flying corps in France from 1915 to 1917."
68,0.09677,"Film Music Literature Cyberplace - Includes picture reviews, message boards, chat room, and images from various films."
69,0.55914,"Dink was assassinated in Istanbul on January 19, 2007 by Ogün Samast, a 17-year-old Turkish nationalist."
70,0.15054,Yogurt or yogurt is a dairy product drawn up by bacterial fermentation of milk.
71,0.97849,"We do not need to ask for your specific permission to do these things, as explained below: Treatment Partners health care providers will use and share your health information to provide and coordinate your health care and related services."
72,0.08602,Since the end of the 19th century Eschelbronn is well known for its furniture manufacturing industry.
73,0.05376,Dublin's Phoenix Park is one of the world's great city parks.
74,0.94624,"It called for the resignation of the governments of Shinawatra, Samak Sundaravej and Somchai Wongsawat."
75,0.82796,Robinson went back to West Point in 1972 and was given the job of developing and teaching cadets as the third Regimental Tactical officer.
76,0.16129,The most famous of the city's grand boulevards is Nevsky Prospect. 
77,0.76344,"Convinced that the grounds were haunted, they decided to publish their findings in a book An Adventure (1911), under the pseudonyms of Elizabeth Morison and Frances Lamont."
78,0.06452,"Finally in 1482 the Order dispatched him to Florence, the ""city of his destiny""."
79,0.3871,The northern and western edges of the cotswolds are marked by steep slope down to the severn valley and the warwickshire avon.
80,0.48387,"You're naked, lying in your bed surrounded by sex toys, with an empty bottle of lube and a videotape lying next to you."
81,0.51613,"The interest was so great that developers found themselves offering the parks rather than their own developments, as the highest prices would exist for the park perceived to be best."
82,0.96774,"When Esther fears to enter the court unsummoned, a capital offense unless the king holds out the golden sceptre, Mordecai says ""Think not with thyself that thou shalt escape in the king's house, more than all the Jews""."
83,0.30108,"Of national importance are a plant producing nuclear reactors and others that manufacture electrical and power machinery, such as steam, hydraulic, and gas turbines, armatures, and generators. "
84,0.02151,A matchbook is a small cardboard container.
85,0.34409,"Hungary's reduction in size following World War I did not prevent Budapest from becoming, after Berlin, the second largest city in central Europe. "
86,0.11828,Fives is a British sport. It comes from the same origin as many Racquet sports.
87,0.25806,"Their eyes are quite small, and their visual acuity is poor."
88,0.29032,"He died on May 29, 1518 in Madrid, Spain and was buried in the church of San Benito d'Alcantara."
89,0.19355,Ohio state's library system includes twenty-one libraries located in the city of Columbus.
90,0.95699,"The polysaccharide antigens were used to stimulate type-specific antibodies that enhanced opsonization, phagocytosis, and killing of Streptococcus pneumoniae (pneumococcal) bacteria by phagocytic immune cells."
91,0.31183,"In these cases, the symptoms are often severe enough to result in functional blindness."
92,0.88172,"In the seventies, Robert Austrian championed the manufacture and distribution of a 14-valent PPSV."
93,0.91398,"Abdominal wall defects are a type of congenital defect that allows the stomach, the intestines, or other organs to protrude through an unusual opening that forms on the abdomen."
