User-ID;Text-ID;Frage;Antwort;richtige_Antwort
vikoooy;70;When did the miners' dispute begin? ;20th March 1984;6 March 1984
vikoooy;28;How is the dish mentioned in the text usually prepared? ;As a small tart with a top crust;As a small tart without a top crust.
vikoooy;70;When did the miners' dispute begin? ;20th March 1984;6 March 1984
vikoooy;72;Why were the maps created?;To display population density;To show areas of Access Land in Sheffield.
vikoooy;74;What type of tenancy do they usually offer? ;Month-to-month rental;Assured tenancy
vikoooy;49;What options can be offered in rooms licensed for ceremonies?;Full wedding packages to ceremony and drinks reception;Full wedding packages to ceremony and drinks reception
vikoooy;65;Where can more information be found about Sheffield's culture?;All of the above.;All of the above.
vikoooy;99;What does the text suggest an idea can resemble? ;Physical objects;Another idea
vikoooy;157;What was done to parts of the city? ;They were demolished to make way for new construction;They were restored, although progress was slow
vikoooy;81;What problem is being addressed in the text? ;The nature of visible and tangible extension;The existence of extension in the mind.
vikoooy;68;What did an independent tree survey in 2006-07 conclude? ;Majority of street trees were over 75 years old;Majority of street trees were over 75 years old
vikoooy;39;When was Ashland Coal, Inc. formed?;1985;1975
vikoooy;13;Why must lithium be stored in petroleum jelly? ;To prevent it from evaporating.;To protect it from moisture. 
vikoooy;72;Why were the maps created?;To show areas of Access Land in Sheffield.;To show areas of Access Land in Sheffield.
vikoooy;75;What is the main difference in the procedure? ;Building Control route is less expensive.;Building Notice route involves less paperwork
