,Text
59,The most bad situation usually occurs with short journeys from west to east.
60,Marshal Manuel Deodoro da Fonseca became the first president of the Republic of Brazil after heading a military rebellion that deposed Emperor Pedro II.
61,"At a far smaller rally in Brasilia, demonstrators broke through police lines to enter the high-security area of the national congress. Several climbed onto the roof."
62,"""Typically, the biggest difference between film and stage musicals is the use of lavish background scenery which would be impractical in a theater."""
63,"Many men spend their lives doing one thing reluctantly and badly when they could have done other things happily and well; this may come about through bad choices by parents, or a youth's own inexperience, or the absence of opportunities for the congenial vocation and their presence for an uncongenial one. "
64,"But whatever a person's opinion may be on this point of ontology, the force he is really urged by is his own subjective feeling, and is exactly measured by its strength. "
65,"He built it after he went to Wales and took over control of it, conquering it."
66,He visited his sister who was dying of Ebola in Liberia and took part in her burial.
67,"He held several senior positions in the royal flying corps during World War I, serving as the commander of royal flying corps in France from 1915 to 1917."
68,"Film Music Literature Cyberplace - Includes picture reviews, message boards, chat room, and images from various films."
69,"Dink was assassinated in Istanbul on January 19, 2007 by Ogün Samast, a 17-year-old Turkish nationalist."
70,Yogurt or yogurt is a dairy product drawn up by bacterial fermentation of milk.
71,"We do not need to ask for your specific permission to do these things, as explained below: Treatment Partners health care providers will use and share your health information to provide and coordinate your health care and related services."
72,Since the end of the 19th century Eschelbronn is well known for its furniture manufacturing industry.
73,Dublin's Phoenix Park is one of the world's great city parks.
74,"It called for the resignation of the governments of Shinawatra, Samak Sundaravej and Somchai Wongsawat."
75,Robinson went back to West Point in 1972 and was given the job of developing and teaching cadets as the third Regimental Tactical officer.
76,The most famous of the city's grand boulevards is Nevsky Prospect. 
77,"Convinced that the grounds were haunted, they decided to publish their findings in a book An Adventure (1911), under the pseudonyms of Elizabeth Morison and Frances Lamont."
78,"Finally in 1482 the Order dispatched him to Florence, the ""city of his destiny""."
79,The northern and western edges of the cotswolds are marked by steep slope down to the severn valley and the warwickshire avon.
80,"You're naked, lying in your bed surrounded by sex toys, with an empty bottle of lube and a videotape lying next to you."
81,"The interest was so great that developers found themselves offering the parks rather than their own developments, as the highest prices would exist for the park perceived to be best."
82,"When Esther fears to enter the court unsummoned, a capital offense unless the king holds out the golden sceptre, Mordecai says ""Think not with thyself that thou shalt escape in the king's house, more than all the Jews""."
83,"Of national importance are a plant producing nuclear reactors and others that manufacture electrical and power machinery, such as steam, hydraulic, and gas turbines, armatures, and generators. "
84,A matchbook is a small cardboard container.
85,"Hungary's reduction in size following World War I did not prevent Budapest from becoming, after Berlin, the second largest city in central Europe. "
86,Fives is a British sport. It comes from the same origin as many Racquet sports.
87,"Their eyes are quite small, and their visual acuity is poor."
88,"He died on May 29, 1518 in Madrid, Spain and was buried in the church of San Benito d'Alcantara."
89,Ohio state's library system includes twenty-one libraries located in the city of Columbus.
90,"The polysaccharide antigens were used to stimulate type-specific antibodies that enhanced opsonization, phagocytosis, and killing of Streptococcus pneumoniae (pneumococcal) bacteria by phagocytic immune cells."
91,"In these cases, the symptoms are often severe enough to result in functional blindness."
92,"In the seventies, Robert Austrian championed the manufacture and distribution of a 14-valent PPSV."
93,"Abdominal wall defects are a type of congenital defect that allows the stomach, the intestines, or other organs to protrude through an unusual opening that forms on the abdomen."
