User-ID;Text-ID;Frage;Antwort;richtige_Antwort
Power;141;Where is Baghdad situated in Iraq? ;Near the center ;Near the center 
Power;70;When did the miners' dispute begin? ;6 March 1983.;6 March 1984
Power;116;How do we know the influence of the will?;Through consciousness ;Through consciousness 
Power;17;When was Byrd Station reopened? ;2009-2010 ;2009-2010 
Power;63;Why have some county and council areas been grouped into subregions? ;To simplify administrative processes;Due to allocation challenges
Power;66;What type of areas does the mentioned location have?;Both residential and commercial/retail;Both residential and commercial/retail
Power;106;What may exist in a general atmosphere of mental slavery? ;Conformists ;Individual thinkers
Power;129;When were the first settlements on the site of Jakarta established?;5th century AD ;5th century AD 
Power;91;What process of thought does the speaker want to understand? ;Eating breakfast;Eating breakfast
Power;99;What does the text suggest an idea can resemble? ;Another idea;Another idea
Power;79;What happens if there is no response after the further 28 days? ;Right to buy application is closed.;Right to buy application is closed.
Power;26;What effect does starch have on dirt and sweat? ;It repels dirt and sweat;It repels dirt and sweat
Power;155;What is to the north of Lisbon's central commercial district?;The Cidade Alta (Upper City) ;The Cidade Baixa (Lower City
Power;120;When were Old Havana and its fortifications added to UNESCO's World Heritage List?;1982;1982
Power;116;How do we know the influence of the will?;Through consciousness ;Through consciousness 
Power;0;What was the outcome of the depression mentioned in the text? ;It remained a small and disorganized depression. ;It remained a small and disorganized depression. 
Power;44;What can a business do after receiving an interim authority notice?;Cease all licensable activities;Carry on any licensable activities allowed by the premises licence
Power;26;What effect does starch have on dirt and sweat? ;It attracts dirt and sweat;It repels dirt and sweat
Power;121;How was the city divided by the Allied powers in September?;Into four zones ;Into four zones 
Power;90;What was not clear to the speaker regarding their potential impact?;Their influence as a member of the House of Commons;Their influence as a member of the House of Commons
Power;118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are false ;They are derived from the same origin 
Power;125;How far is Bangkok located from the Gulf of Thailand? ;About 25 miles ;About 25 miles 
Power;73;What is recommended when reporting issues with damp & mould?;Ignore the issue.;Provide a minimum of 3 pictures
Power;114;How does a clever woman of the higher ranks find employment for her talents?;In charitable activities;In the graces of manner and the arts of conversation
Power;65;Where can more information be found about Sheffield's culture?;Sheffield Culture Consortium website only;All of the above.
Power;18;What are the immediate effects of being sprayed with pepper spray? ;Eye closure, difficulty breathing, runny nose, and cough. ;Eye closure, difficulty breathing, runny nose, and cough. 
Power;2;What is the primary goal of the Federal Deposit Insurance Corporation (FDIC)?;To ensure the safety of people's money. ;To ensure the safety of people's money. 
Power;28;How is the dish mentioned in the text usually prepared? ;As a large tart without a top crust.;As a small tart without a top crust.
Power;77;What happened to most wards during the process? ;They were renamed.;They kept their name and electorate
Power;107;What does the text say about presumption of falsehood? ;It should be avoided ;It affords no presumption of their falsehood 
Power;55;Which councils charge additional parish charges? ;All of the above.;All of the above.
Power;47;What payment options are available with 24/7 account access?;Direct Debit, online payment, and e-billing.;Direct Debit, online payment, and e-billing.
Power;88;What is inconsistent with justice, according to the text? ;Showing favor;Showing favor
Power;121;How was the city divided by the Allied powers in September?;Into five zones ;Into four zones 
Power;16;What is dolomite?;A mineral composed of calcium magnesium carbonate.;A mineral composed of calcium magnesium carbonate.
Power;14;What distinguishes white chocolate from other types of chocolate? ;It contains no cocoa;It contains no cocoa
Power;11;"What did Griffith identify as the ""transforming principle""? ";Protein ;DNA
Power;37;What did Francois de la Boe Sylvius believe was the cause of cancer? ;Chemical processes and acidic lymph fluid.;Chemical processes and acidic lymph fluid.
Power;52;What planning approach covers the business rate relief sites? ;Local Development Order.;Local Development Order.
Power;81;What problem is being addressed in the text? ;The distinction between two types of shapes;The existence of extension in the mind.
Power;116;How do we know the influence of the will?;Through consciousness ;Through consciousness 
Power;72;Why were the maps created?;To show areas of Access Land in Sheffield.;To show areas of Access Land in Sheffield.
Power;85;What was the overall impression of the situation described? ;Neutral;Discouraging
Power;60;What happens after receiving an application? ;Automatic rejection;Compliance check and then sent to the Police for checks
Power;153;What is another industry in the city? ;Movie making ;Movie making 
Power;46;What is the purpose of using an inventory in a tenancy agreement? ;To list the landlord's possessions;To encourage the tenant to look after provided items.
Power;156;What is notable about some of the streets? ;They are so steep that they give way to stairs, cable cars, and even an elevator;They are so steep that they give way to stairs, cable cars, and even an elevator
Power;145;What happened to many of Lisbon's residents?;They became rich ;They became rich 
Power;124;How many inhabitants did Tenochtitlan have when the Spaniards arrived in 1519?;100000;100000
Power;153;What is another industry in the city? ;Movie making ;Movie making 
Power;5;What additional benefit does the drug mentioned in the text provide to patients?;It increases appetite.;It extends the time before needing breathing assistance.
Power;13;Why must lithium be stored in petroleum jelly? ;To prevent it from evaporating.;To protect it from moisture. 
Power;102;What is a proper office of public authority according to the text? ;To guard against accidents ;To guard against accidents 
Power;148;What is the city's role in the country? ;A center for banking and insurance, a major tourist site, and a transportation hub ;A center for banking and insurance, a major tourist site, and a transportation hub 
Power;146;Why did the Spanish colonists name the city for the 'good winds'?;Because of the frequent windstorms;Because the winds brought them to the port 
Power;27;What concept is illustrated by the interaction between bacteria and antibiotics?;Natural selection.;Evolutionary arms race.
Power;58;What groups exist across the city for tenants and leaseholders? ;Tenants & Resident Association (TARA) only;Both Tenants & Resident Association (TARA) and Leaseholder groups
Power;93;How did the speaker approach reading the text? ;With prejudice;With neutrality.
Power;75;What is the main difference in the procedure? ;Building Control formally assesses information.;Building Notice route involves less paperwork
Power;133;What is the city's role in the country?;Chief port, largest city, and commercial, political, and tourist centre ;Chief port, largest city, and commercial, political, and tourist centre 
Power;63;Why have some county and council areas been grouped into subregions? ;To simplify administrative processes;Due to allocation challenges
Power;117;Which book did the speaker particularly enjoy during their boyhood?;Robinson Crusoe ;Robinson Crusoe 
Power;119;What would have prevented Christianity from expanding according to the text?;Cultural barriers ;Remaining an obscure sect of the Hebrews
Power;54;When can workers from Making Space provide assistance? ;When the carer requests assistance.;When the carer is not around.
Power;149;What happened during the Persian Gulf War of 1991? ;The United States and its allies dropped bombs on the city;The United States and its allies dropped bombs on the city
Power;57;What does the statement illustrate about the Sheffield Plan and planning applications? ;The consultation process;The consultation process
Power;81;What problem is being addressed in the text? ;The distinction between two types of shapes;The existence of extension in the mind.
Power;109;What is the dilemma posed about sugar and wormwood? ;Their historical usage ;Their existence without the mind 
Power;36;What was the immediate action taken against the individual mentioned in the text?;Immediate arrest;Immediate arrest
Power;135;Where are concerts regularly given? ;Bolshoi Theatre ;Tchaikovsky Conservatory 
Power;62;What does the initiative mentioned aim to support? ;Workforce Diversity Strategy;Workforce Diversity Strategy
Power;38;Which cells contain granules that can lead to the lysis of neighboring cells? ;Neurons;White blood cells. 
Power;28;How is the dish mentioned in the text usually prepared? ;As a small tart with a top crust;As a small tart without a top crust.
Power;91;What process of thought does the speaker want to understand? ;Decision making;Eating breakfast
Power;147;Where does the city lie in Austria? ;In the southwestern corner;In the northeastern corner 
Power;49;What options can be offered in rooms licensed for ceremonies?;Ceremonies with no additional services.;Full wedding packages to ceremony and drinks reception
Power;81;What problem is being addressed in the text? ;The nature of visible and tangible extension;The existence of extension in the mind.
Power;97;How does the text describe the prohibition?;As unjust;As reasonable
Power;6;What part of the body is the structure mentioned in the text attached to?;Uterus;Frenulum clitoridis. 
Power;143;What came to an end after World War I? ;The Hapsburg Empire;The Hapsburg Empire
Power;116;How do we know the influence of the will?;Through experimentation ;Through consciousness 
Power;20;What recognition did JVL receive?;Awards for academic excellence;Awards from various international organizations. 
Power;25;What is leukemia? ; A type of cancer of the lungs.;A type of cancer of the blood or bone marrow. 
